time(sec)	tx/rx	C/S	NodeID	IP[src]	IP[dst]	PktSize(bytes)
6.6	tx	C	7	:::49153	6001:db80::200:ff:fe00:7:50000	150	
6.67493	rx	S	3	7777:f00e::6:49153	:::50000	150	
6.67493	tx	S	3	:::50000	7777:f00e::6:49153	150	
6.73493	rx	C	7	6001:db80::200:ff:fe00:7:50000	:::49153	150	
7.1	tx	C	7	:::49153	6001:db80::200:ff:fe00:7:50000	150	
7.15593	rx	S	3	7777:f00e::6:49153	:::50000	150	
7.15593	tx	S	3	:::50000	7777:f00e::6:49153	150	
7.21793	rx	C	7	6001:db80::200:ff:fe00:7:50000	:::49153	150	
7.6	tx	C	7	:::49153	6001:db80::200:ff:fe00:7:50000	150	
7.69093	rx	S	3	7777:f00e::6:49153	:::50000	150	
7.69093	tx	S	3	:::50000	7777:f00e::6:49153	150	
7.73793	rx	C	7	6001:db80::200:ff:fe00:7:50000	:::49153	150	
8.1	tx	C	7	:::49153	6001:db80::200:ff:fe00:7:50000	150	
8.15893	rx	S	3	7777:f00e::6:49153	:::50000	150	
8.15893	tx	S	3	:::50000	7777:f00e::6:49153	150	
8.21593	rx	C	7	6001:db80::200:ff:fe00:7:50000	:::49153	150	
8.6	tx	C	7	:::49153	6001:db80::200:ff:fe00:7:50000	150	
8.69093	rx	S	3	7777:f00e::6:49153	:::50000	150	
8.69093	tx	S	3	:::50000	7777:f00e::6:49153	150	
8.72993	rx	C	7	6001:db80::200:ff:fe00:7:50000	:::49153	150	
9.1	tx	C	7	:::49153	6001:db80::200:ff:fe00:7:50000	150	
9.17593	rx	S	3	7777:f00e::6:49153	:::50000	150	
9.17593	tx	S	3	:::50000	7777:f00e::6:49153	150	
9.22893	rx	C	7	6001:db80::200:ff:fe00:7:50000	:::49153	150	
9.6	tx	C	7	:::49153	6001:db80::200:ff:fe00:7:50000	150	
9.68693	rx	S	3	7777:f00e::6:49153	:::50000	150	
9.68693	tx	S	3	:::50000	7777:f00e::6:49153	150	
9.74893	rx	C	7	6001:db80::200:ff:fe00:7:50000	:::49153	150	
10.1	tx	C	7	:::49153	6001:db80::200:ff:fe00:7:50000	150	
10.1689	rx	S	3	7777:f00e::6:49153	:::50000	150	
10.1689	tx	S	3	:::50000	7777:f00e::6:49153	150	
10.2289	rx	C	7	6001:db80::200:ff:fe00:7:50000	:::49153	150	
10.6	tx	C	7	:::49153	6001:db80::200:ff:fe00:7:50000	150	
10.6719	rx	S	3	7777:f00e::6:49153	:::50000	150	
10.6719	tx	S	3	:::50000	7777:f00e::6:49153	150	
10.7499	rx	C	7	6001:db80::200:ff:fe00:7:50000	:::49153	150	
11.1	tx	C	7	:::49153	6001:db80::200:ff:fe00:7:50000	150	
11.1699	rx	S	3	7777:f00e::6:49153	:::50000	150	
11.1699	tx	S	3	:::50000	7777:f00e::6:49153	150	
11.2359	rx	C	7	6001:db80::200:ff:fe00:7:50000	:::49153	150	
11.6	tx	C	7	:::49153	6001:db80::200:ff:fe00:7:50000	150	
11.6709	rx	S	3	7777:f00e::6:49153	:::50000	150	
11.6709	tx	S	3	:::50000	7777:f00e::6:49153	150	
11.7719	rx	C	7	6001:db80::200:ff:fe00:7:50000	:::49153	150	
12.1	tx	C	7	:::49153	6001:db80::200:ff:fe00:7:50000	150	
12.1679	rx	S	3	7777:f00e::6:49153	:::50000	150	
12.1679	tx	S	3	:::50000	7777:f00e::6:49153	150	
12.2119	rx	C	7	6001:db80::200:ff:fe00:7:50000	:::49153	150	
12.6	tx	C	7	:::49153	6001:db80::200:ff:fe00:7:50000	150	
12.6869	rx	S	3	7777:f00e::6:49153	:::50000	150	
12.6869	tx	S	3	:::50000	7777:f00e::6:49153	150	
12.7379	rx	C	7	6001:db80::200:ff:fe00:7:50000	:::49153	150	
13.1	tx	C	7	:::49153	6001:db80::200:ff:fe00:7:50000	150	
13.1589	rx	S	3	7777:f00e::6:49153	:::50000	150	
13.1589	tx	S	3	:::50000	7777:f00e::6:49153	150	
13.2269	rx	C	7	6001:db80::200:ff:fe00:7:50000	:::49153	150	
13.36	tx	C	8	:::49153	6001:db80::200:ff:fe00:7:50001	150	
13.4549	rx	S	3	7777:f00e:0:1::8:49153	:::50001	150	
13.4549	tx	S	3	:::50001	7777:f00e:0:1::8:49153	150	
13.5129	rx	C	8	6001:db80::200:ff:fe00:7:50001	:::49153	150	
13.6	tx	C	7	:::49153	6001:db80::200:ff:fe00:7:50000	150	
13.6969	rx	S	3	7777:f00e::6:49153	:::50000	150	
13.6969	tx	S	3	:::50000	7777:f00e::6:49153	150	
13.7469	rx	C	7	6001:db80::200:ff:fe00:7:50000	:::49153	150	
13.86	tx	C	8	:::49153	6001:db80::200:ff:fe00:7:50001	150	
13.9299	rx	S	3	7777:f00e:0:1::8:49153	:::50001	150	
13.9299	tx	S	3	:::50001	7777:f00e:0:1::8:49153	150	
13.9929	rx	C	8	6001:db80::200:ff:fe00:7:50001	:::49153	150	
14.1	tx	C	7	:::49153	6001:db80::200:ff:fe00:7:50000	150	
14.1699	rx	S	3	7777:f00e::6:49153	:::50000	150	
14.1699	tx	S	3	:::50000	7777:f00e::6:49153	150	
14.2299	rx	C	7	6001:db80::200:ff:fe00:7:50000	:::49153	150	
14.36	tx	C	8	:::49153	6001:db80::200:ff:fe00:7:50001	150	
14.4559	rx	S	3	7777:f00e:0:1::8:49153	:::50001	150	
14.4559	tx	S	3	:::50001	7777:f00e:0:1::8:49153	150	
14.4899	rx	C	8	6001:db80::200:ff:fe00:7:50001	:::49153	150	
14.6	tx	C	7	:::49153	6001:db80::200:ff:fe00:7:50000	150	
14.6759	rx	S	3	7777:f00e::6:49153	:::50000	150	
14.6759	tx	S	3	:::50000	7777:f00e::6:49153	150	
14.7559	rx	C	7	6001:db80::200:ff:fe00:7:50000	:::49153	150	
14.86	tx	C	8	:::49153	6001:db80::200:ff:fe00:7:50001	150	
14.9179	rx	S	3	7777:f00e:0:1::8:49153	:::50001	150	
14.9179	tx	S	3	:::50001	7777:f00e:0:1::8:49153	150	
14.9929	rx	C	8	6001:db80::200:ff:fe00:7:50001	:::49153	150	
15.1	tx	C	7	:::49153	6001:db80::200:ff:fe00:7:50000	150	
15.1599	rx	S	3	7777:f00e::6:49153	:::50000	150	
15.1599	tx	S	3	:::50000	7777:f00e::6:49153	150	
15.2169	rx	C	7	6001:db80::200:ff:fe00:7:50000	:::49153	150	
15.36	tx	C	8	:::49153	6001:db80::200:ff:fe00:7:50001	150	
15.4469	rx	S	3	7777:f00e:0:1::8:49153	:::50001	150	
15.4469	tx	S	3	:::50001	7777:f00e:0:1::8:49153	150	
15.5059	rx	C	8	6001:db80::200:ff:fe00:7:50001	:::49153	150	
15.6	tx	C	7	:::49153	6001:db80::200:ff:fe00:7:50000	150	
15.6909	rx	S	3	7777:f00e::6:49153	:::50000	150	
15.6909	tx	S	3	:::50000	7777:f00e::6:49153	150	
15.7399	rx	C	7	6001:db80::200:ff:fe00:7:50000	:::49153	150	
15.86	tx	C	8	:::49153	6001:db80::200:ff:fe00:7:50001	150	
15.9189	rx	S	3	7777:f00e:0:1::8:49153	:::50001	150	
15.9189	tx	S	3	:::50001	7777:f00e:0:1::8:49153	150	
15.9779	rx	C	8	6001:db80::200:ff:fe00:7:50001	:::49153	150	
16.1	tx	C	7	:::49153	6001:db80::200:ff:fe00:7:50000	150	
16.1689	rx	S	3	7777:f00e::6:49153	:::50000	150	
16.1689	tx	S	3	:::50000	7777:f00e::6:49153	150	
16.2109	rx	C	7	6001:db80::200:ff:fe00:7:50000	:::49153	150	
16.36	tx	C	8	:::49153	6001:db80::200:ff:fe00:7:50001	150	
16.4499	rx	S	3	7777:f00e:0:1::8:49153	:::50001	150	
16.4499	tx	S	3	:::50001	7777:f00e:0:1::8:49153	150	
16.4939	rx	C	8	6001:db80::200:ff:fe00:7:50001	:::49153	150	
16.86	tx	C	8	:::49153	6001:db80::200:ff:fe00:7:50001	150	
16.9149	rx	S	3	7777:f00e:0:1::8:49153	:::50001	150	
16.9149	tx	S	3	:::50001	7777:f00e:0:1::8:49153	150	
