time(s)	txId	RxId	msgType
4.94993	3	1	DIRECT_COMMUNICATION_REQUEST
4.97093	1	3	DIRECT_SECURITY_MODE_COMMAND
5.01593	3	1	DIRECT_SECURITY_MODE_COMPLETE
5.06793	1	3	DIRECT_COMMUNICATION_ACCEPT
6.08893	3	1	DIRECT_COMMUNICATION_KEEPALIVE
6.13593	1	3	DIRECT_COMMUNICATION_KEEPALIVE_ACK
11.6929	4	1	DIRECT_COMMUNICATION_REQUEST
11.7299	1	4	DIRECT_SECURITY_MODE_COMMAND
11.7699	4	1	DIRECT_SECURITY_MODE_COMPLETE
11.8089	1	4	DIRECT_COMMUNICATION_ACCEPT
12.8549	4	1	DIRECT_COMMUNICATION_KEEPALIVE
12.8909	1	4	DIRECT_COMMUNICATION_KEEPALIVE_ACK
17.2519	3	1	DIRECT_COMMUNICATION_KEEPALIVE
17.2909	1	3	DIRECT_COMMUNICATION_KEEPALIVE_ACK
18.3319	3	1	DIRECT_COMMUNICATION_KEEPALIVE
18.3689	1	3	DIRECT_COMMUNICATION_KEEPALIVE_ACK
19.4119	3	1	DIRECT_COMMUNICATION_KEEPALIVE
19.4489	1	3	DIRECT_COMMUNICATION_KEEPALIVE_ACK
20.4889	3	1	DIRECT_COMMUNICATION_KEEPALIVE
20.5319	1	3	DIRECT_COMMUNICATION_KEEPALIVE_ACK
21.5709	3	1	DIRECT_COMMUNICATION_KEEPALIVE
21.6099	1	3	DIRECT_COMMUNICATION_KEEPALIVE_ACK
22.6549	3	1	DIRECT_COMMUNICATION_KEEPALIVE
22.6929	1	3	DIRECT_COMMUNICATION_KEEPALIVE_ACK
