time(s)	rnti	relayId	SC	sdRsrp
4.88	3	1	33	-74.8479	
6.16	3	1	33	-74.8479	
7.44	3	1	33	-74.8479	
8.72	3	1	33	-74.8479	
10	3	1	33	-74.8479	
10	3	2	33	-86.0152	
11.28	3	1	33	-74.8479	
11.28	3	2	33	-86.0152	
11.64	4	1	33	-44.9745	
11.64	4	2	33	-74.8479	
12.56	3	1	33	-74.8479	
12.56	3	2	33	-86.0152	
12.92	4	1	33	-44.9745	
12.92	4	2	33	-74.8479	
13.84	3	1	33	-74.8479	
13.84	3	2	33	-86.0152	
14.2	4	1	33	-44.9745	
14.2	4	2	33	-74.8479	
15.12	3	1	33	-74.8479	
15.12	3	2	33	-86.0152	
15.48	4	1	33	-44.9745	
15.48	4	2	33	-74.8479	
16.4	3	1	33	-74.8479	
16.4	3	2	33	-86.0152	
16.76	4	1	33	-44.9745	
16.76	4	2	33	-74.8479	
17.68	3	1	33	-74.8479	
17.68	3	2	33	-86.0152	
18.04	4	1	33	-44.9745	
18.04	4	2	33	-74.8479	
18.96	3	1	33	-74.8479	
18.96	3	2	33	-86.0152	
19.32	4	1	33	-44.9745	
19.32	4	2	33	-74.8479	
20.24	3	1	33	-74.8479	
20.24	3	2	33	-86.0152	
20.6	4	1	33	-44.9745	
20.6	4	2	33	-74.8479	
21.52	3	1	33	-74.8479	
21.52	3	2	33	-86.0152	
21.88	4	1	33	-44.9745	
21.88	4	2	33	-74.8479	
22.8	3	1	33	-74.8479	
22.8	3	2	33	-86.0152	
23.16	4	1	33	-44.9745	
23.16	4	2	33	-74.8479	
