% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	avrgSinrPerRb
2240	0	1	1	0	8	40	0	1	1	258760
2244	0	2	1	0	8	40	0	1	1	258760
2560	0	2	1	0	8	40	0	1	1	258760
2572	0	1	1	0	8	40	0	1	1	258760
2888	0	1	1	0	8	40	0	1	1	258760
2892	0	2	1	0	8	40	0	1	1	258760
3200	0	2	1	0	8	40	0	1	1	258760
3212	0	1	1	0	8	40	0	1	1	258760
3528	0	2	1	0	8	40	0	1	1	258760
3532	0	1	1	0	8	40	0	1	1	258760
3840	0	1	1	0	8	40	0	1	1	258760
3856	0	2	1	0	8	40	0	1	1	258760
4168	0	1	1	0	8	40	0	1	1	258760
4172	0	2	1	0	8	40	0	1	1	258760
4480	0	2	1	0	8	40	0	1	1	258760
4496	0	1	1	0	8	40	0	1	1	258760
4812	0	2	1	0	8	40	0	1	1	258760
4816	0	1	1	0	8	40	0	1	1	258760
5132	0	1	1	0	8	40	0	1	1	258760
5136	0	2	1	0	8	40	0	1	1	258760
5440	0	1	1	0	8	40	0	1	1	258760
5448	0	2	1	0	8	40	0	1	1	258760
